rep_word1,rep_word2,rep_word3,rep_word4,rep_word5
子,もの,動物,夢,
母,娘,兄,男,殺し
貞操,大会,皇国,敬神,償
少年,暗黒,少女,顔役,青年
大地,地平,,,
姫,嵐,海,風,白銀
処女,,,,
永遠,君,未来,風雪,戦場
劇,愛,鼻唄,詩,歌劇
軍,決死,戦線,スパイ,隊
槍,騎士,鎧,敵,騎兵
世界,日本,冒険,空中,少年
姿,着物,女性,腰板,目撃
商店,大津屋,左衛門,精米,山田
商会,合名,会社,合資,大塚
森屋,函館,,,
西川,岩橋,,,
林,関,,,
平出,喜三郎,,,
三井,,,,
嘉一郎,水上,,,
益太郎,近藤,加藤,中村,高木
礼助,檀野,平次郎,佐々木,安次郎
清酒,醸造,醸,醤油,白鶴
正宗,醸,桜,清酒,さくら
銘酒,白鹿,醸,正宗,
印,エナメル,虹,鳥,毬
風車,羽根,,,
月形,,,,
ボール,硝子,ガラス,タイル,和洋
上布,瓦,銘木,呉服,金物
鮭,味噌,魚,鱒,塩鮭
煙草,牡丹,紙巻,足袋,白
飴,香,椿油,ほうじ茶,粉
菓子,カステーラ,栄泉,精養軒,パン
焼酎,蒸,葡萄,糖,煎茶
明堂,陽,印刷,,
黒住,成章,,,
徳,喜,八郎,宗,左衛門
貞,頼助,中川原,広業,北長
江戸,嘉兵衛,お吉,高田屋,誂
エノケン,皿屋敷,悪太郎,風来,番町
御前,天狗,文楽,雅楽,鞍馬
横綱,里,フェスティバル,,
而御,喪儀,ハ,候,シ
観音,上人,法要,開帳,観世音
宝,閧,牙,山,道
故郷,石,廃家,路傍,まりも
さくら,まつり,ともえ,,
花,若葉,千草,鶯,雲井
鶴,湯,ろ,千歳,しき
洋画,演芸,落語,講談,名作
パ・リーグ,セ・リーグ,ベイスターズ,カープ,バファローズ
号,公論,新年,倶楽部,婦人
スタア,びっくり,バンザイ,人生,誕生
劇,英語,夜,夕,夢
椿姫,リゴレット,夕鶴,,
夕,らくだ,グランド,レクリエーション,
波止場,夕陽,海猫,特急,映画
颱風,不夜城,,,
包装,紙,茶舗,製品,商店
包装,呉服,洋品,紙,店
ビール,サッポロ,キリン,,
登録,商標,飼犬,,
輸出,輸入,生産,輸出入,国産
インキ,,,,
材,塗料,敷物,水性,床
式,ポンプ,荷造,自動,安全
パイプ,ベンチレーター,高圧,エルボー,
発明,レンジ,ソース,万能,ブルドック
石油,ガソリン,ダイヤモンド,スタンダード,チューインガム
ランプ,電球,蓄電,アサヒ,
ストーブ,,,,
火,用心,夜,土,空
ヘット,,,,
オールド,サラトガ,,,
チェリー,ルビー,,,
ホーク,キング,コング,ピーコック,
ヘレン,夫人,ジュリエット,エバ,女史
セロン,,,,
奴隷,モレア,,,
ムリ,,,,
ハガネ,東郷,,,
本部,シバタ,,,
マリモ,,,,
アメ,チョコレート,フルヤ,キャラメル,グリコ
森永,ミルク,ココア,菓子,バナナ
飲料,清涼,コーヒー,牛乳,サイダー
シトロン,リボン,ナポリン,,
人形,おもちゃ,悪魔,赤ちゃん,ビスケ
歯磨,ライオン,,,
クリーム,石鹸,整髪,美身,エチケット
photo,study,line,,
alps,three,famous,food,red
no,新聞,ニュース,北海道,
cie,expo,万国,図書,
hakodate,kaisha,city,library,osaka
japan,juno,tokyo,nippon,
com,,,,
hakodate,函館,雪,,
h,c,m,xi,
券,前売,景品,入場,ポスター
北洋,博,函館,丸井,
競馬,函館,福島,,
秋田,仙台,県,,
東京,労音,新宿,例会,
春,京都,夏,陣,大阪
東武,秩父,銘仙,埼玉,足利
さっぽろ,雪まつり,,,
北海道,函館,東北,新聞,
函館,観光,トラピスチヌ,ポスター,夜景
温泉,スキー,冬山,周遊,レジャー
名所,城下,越後,まつり,松前
熊祭,函館,北海道,文化,縄文
函館,市,小樽,地方,地区
函館,館,箱館,市,五稜郭
函館,小樽,北海道,,
五稜郭,函館,青函,箱館,青森
啄木,,,,
松前,,,,
祭,合唱,函館,フェスティバル,劇
祭,大祭,神宮,鎮座,建国
教会,修道,トラピスチヌ,,
成人,期,学校,市,青年
絵画,名品,美術,巨匠,国宝
美術,三岸,剛一,函館,秀作
箱館,幕末,戊辰,志士,勤王
明治,大正,昭和,竣功,建築
港,まつり,開港,観光,記念
みなと,函館,神戸,平成,ハイカラ
開港,函館,記念,まつり,箱館
記念,周年,市制,開館,行事
時,記念,,,
奉祝,大典,博覧,会,
美化,運動,緑化,保護,植樹
火災,大火,周年,記念,行事
記念,周年,行事,祭,文化
募集,学生,生徒,学校,養成
大学,学生,商科,予科,立教
学院,文化,大東,商業,部
学校,中学,入学,商業,学園
学校,薬学,官立,医学,専門
週間,健康,児童,乳幼児,読書
県,週間,図書,山梨,石川
図書,週間,,,
選挙,議員,委員,政治,投票
逓信,,,,
道政,選,普,重点,
民政,立憲,政友,内務,黨
図書,文部,推薦,出版,会
案内,館内,施設,宿泊,書架
図書,分館,市,室,会
文庫,図書,緑蔭,,
大系,名著,文学,全集,訳註
博覧,会,振興,展覧,産業
会,講演,講話,発会,フォーラム
展示,即売,展覧,品,会
展覧,会,展,遺墨,景仰
大会,競技,オリンピック,国体,会場
大会,マラソン,ハイキング,函館,市民
講座,大学,教育,教室,受講
教育,講座,科学,研究,会
文化,市民,会館,記念,行事
市民,まつり,健康,保健,フェスティバル
予防,デー,むし歯,ムシ歯,結核
国民,国家,精神,公務,作興
心,人々,今,気,こと
運動,教育,社会,青少年,保護
コンサート,クリスマス,フェスティバル,祝祭,モーツァルト
公演,コンサート,劇場,バレエ,劇
演奏,プロムジカ,絃楽,合唱,オーケストラ
オーケストラ,演奏,独奏,ピアノ,ヴァイオリン
フォト,ニュース,時事,サービス,通信
新聞,毎日,郵便,壁,
ニュース,新聞,朝日,マップ,
週報,国策,時事,謹告,問題
感想,作文,詩,文,読書
募集,懸賞,広告,コンテスト,学生
カレンダー,癸巳,,,
切手,スタンプ,絵,手紙,郵便
鉛筆,,,,
地図,,,,
みんな,応援,づくり,子育て,節電
福引,売出し,まつり,,
協賛,募金,企画,共同,マーク
進呈,贈答,感謝,新穀,袋
会社,株式,製糖,創業,工業
会社,郵船,株式,汽船,商船
年賀,郵便,慶弔,電報,取扱
郵便,小包,料金,速達,貯金
貯蓄,預貯金,現金,所得,利子
貯蓄,所得,社会,運動,促進
公債,債券,売出し,郵便,局
保険,共済,預金,会社,傷害
南方,北方,横断,太平洋,領土
フライト,,,,
出発,,,,
演習,陸軍,会,,
航空,志願,募集,海軍,兵
国防,召集,拓殖,訓練,備
公司,製糖,東亜,南洋,
上海,台湾,ぽんかん,,
支那,満蒙,満州,事変,朝鮮
報国,銃後,婦女,奉公,貯蓄
国勢,調査,,,
表,換算,建値,対照,並
メートル,レート,サイズ,,
共進,畜産,工業,物産,水産
税,労務,地方,地租,法
中央,推進,商工,会,貯蓄
水道,局,水,平成,
鉄道,線路,道路,図,所
交通,安全,道路,防止,改善
建築,森林,衛生,都市,自然
電気,科学,技術,安全,
人体,曝露,寄生,人類,知識
